AMPID,TITLE,LATITUDE,LONGITUDE,TYPE,DESCRIPTION
87171352773,Fortalecimiento de Capacidades Nacionales para la ImplementaciÃ_n de las PolÃ_ticas PÃºblicas del Sector GÃ©nero.,14.03333,-87.01667,GOBIERNO Y SOCIEDAD CIVIL,
87171352773,Fortalecimiento de Capacidades Nacionales para la ImplementaciÃ_n de las PolÃ_ticas PÃºblicas del Sector GÃ©nero.,14,-87.08333,GOBIERNO Y SOCIEDAD CIVIL,
87171352773,Fortalecimiento de Capacidades Nacionales para la ImplementaciÃ_n de las PolÃ_ticas PÃºblicas del Sector GÃ©nero.,14.0818,-87.20681,GOBIERNO Y SOCIEDAD CIVIL,
87171126780,Promover Procesos de Transparencia y Acceso a la Justicia de Colectivos en SituaciÃ_n de Vulnerabilidad,15.50417,-88.025,GOBIERNO Y SOCIEDAD CIVIL,
87171126780,Promover Procesos de Transparencia y Acceso a la Justicia de Colectivos en SituaciÃ_n de Vulnerabilidad,14.0818,-87.20681,GOBIERNO Y SOCIEDAD CIVIL,
87171126790,Fortalecimiento Institucional y de la PolÃ_tica PÃºblica en materia de Justicia y Derechos Humanos,15,-86.5,GOBIERNO Y SOCIEDAD CIVIL,
87171126778,Desarrollo Rural a travÃ©s de una Mejor ProducciÃ_n Sostenible y el Aprovechamiento de los Recursos Naturales,13.29222,-87.65389,AYUDA DE LA MATERIA Y AYUDA GENERAL DEL PROGRAMA,
87171126778,Desarrollo Rural a travÃ©s de una Mejor ProducciÃ_n Sostenible y el Aprovechamiento de los Recursos Naturales,15.96667,-86,AYUDA DE LA MATERIA Y AYUDA GENERAL DEL PROGRAMA,
87171126778,Desarrollo Rural a travÃ©s de una Mejor ProducciÃ_n Sostenible y el Aprovechamiento de los Recursos Naturales,15.75,-86.36667,AYUDA DE LA MATERIA Y AYUDA GENERAL DEL PROGRAMA,
87171126778,Desarrollo Rural a travÃ©s de una Mejor ProducciÃ_n Sostenible y el Aprovechamiento de los Recursos Naturales,15.88244,-86.16928,AYUDA DE LA MATERIA Y AYUDA GENERAL DEL PROGRAMA,
87171126778,Desarrollo Rural a travÃ©s de una Mejor ProducciÃ_n Sostenible y el Aprovechamiento de los Recursos Naturales,13.31083,-87.62528,AYUDA DE LA MATERIA Y AYUDA GENERAL DEL PROGRAMA,
87171126778,Desarrollo Rural a travÃ©s de una Mejor ProducciÃ_n Sostenible y el Aprovechamiento de los Recursos Naturales,15.58333,-85.21667,AYUDA DE LA MATERIA Y AYUDA GENERAL DEL PROGRAMA,
87171126778,Desarrollo Rural a travÃ©s de una Mejor ProducciÃ_n Sostenible y el Aprovechamiento de los Recursos Naturales,13.33861,-87.62806,AYUDA DE LA MATERIA Y AYUDA GENERAL DEL PROGRAMA,
87171126778,Desarrollo Rural a travÃ©s de una Mejor ProducciÃ_n Sostenible y el Aprovechamiento de los Recursos Naturales,14.86667,-87.98333,AYUDA DE LA MATERIA Y AYUDA GENERAL DEL PROGRAMA,
87171126778,Desarrollo Rural a travÃ©s de una Mejor ProducciÃ_n Sostenible y el Aprovechamiento de los Recursos Naturales,13.25,-87.35,AYUDA DE LA MATERIA Y AYUDA GENERAL DEL PROGRAMA,
87171126778,Desarrollo Rural a travÃ©s de una Mejor ProducciÃ_n Sostenible y el Aprovechamiento de los Recursos Naturales,13.41667,-87.45,AYUDA DE LA MATERIA Y AYUDA GENERAL DEL PROGRAMA,
87171126797,Programa Nacional de Escuelas Taller [2012-2013],14.83333,-85.9,EDUCACION,
87171126797,Programa Nacional de Escuelas Taller [2012-2013],14.45,-87.63333,EDUCACION,
87171126797,Programa Nacional de Escuelas Taller [2012-2013],14.09,-86.37,EDUCACION,
87171126797,Programa Nacional de Escuelas Taller [2012-2013],13.95,-87.33333,EDUCACION,
87171126797,Programa Nacional de Escuelas Taller [2012-2013],15.79,-87.849,EDUCACION,
87171126797,Programa Nacional de Escuelas Taller [2012-2013],14.4,-88.73333,EDUCACION,
87171126797,Programa Nacional de Escuelas Taller [2012-2013],14.91667,-88.21667,EDUCACION,
87171126797,Programa Nacional de Escuelas Taller [2012-2013],14.76667,-88.78333,EDUCACION,
87171126797,Programa Nacional de Escuelas Taller [2012-2013],14.0818,-87.20681,EDUCACION,
87171126802,Patrimonio Cultural para el Desarrollo Local del Municipio de San Juan Ojojona,13.95,-87.33333,OTRA INFRAESTRUCTURA Y SERVICIOS SOCIALES,
87171353772,Apoyo a la iniciativa educaciÃ_n para todos EFA,15,-86.5,EDUCACION,
871711214603,"Asistencia Para la Puesta en Marcha del ""Programa Especial para la Seguridad Alimentaria"" [PESA]",13.95,-87.66667,AYUDA DE LA MATERIA Y AYUDA GENERAL DEL PROGRAMA,
87171405664,Programa Euro Justicia,15,-86.5,GOBIERNO Y SOCIEDAD CIVIL,
871711614638,Fortalecimiento de las Capacidades Institucionales del Tribunal Superior de Cuentas de Honduras para la lucha contra la impunidad y apoyo a la transparencia,15,-86.5,GOBIERNO Y SOCIEDAD CIVIL,
BAMU022,Proyecto Hidro La Esperanza [P088256],14.31111,-88.18056,AGUA Y SANEAMIENTO,
BAMU022,Proyecto Hidro La Esperanza [P088256],14.27285,-88.18215,AGUA Y SANEAMIENTO,
87171153478,Fortalecimiento de la Capacidad de PlanificaciÃ_n Municipal Territorial [P106680],15.64,-87.92,TRANSPORTE Y ALMACENAJE,
