AMPID,TITLE,LATITUD,LONGITUD,TYPE,DESCRIPTION
87171125218,Ampliaci•À_n y Mejoramiento de la Carretera CA-5 Segmento I y II (Secci•À_n 2A),14.33333,-87.66667,TRANSPORTE Y ALMACENAJE,
87171125218,Ampliaci•À_n y Mejoramiento de la Carretera CA-5 Segmento I y II (Secci•À_n 2A),14.31667,-87.61667,TRANSPORTE Y ALMACENAJE,
87171125218,Ampliaci•À_n y Mejoramiento de la Carretera CA-5 Segmento I y II (Secci•À_n 2A),14.33333,-87.51667,TRANSPORTE Y ALMACENAJE,
87171352736,Apoyo a infraestructura social b•À_sica en el municipio de Jutiapa,15.7,-86.5,MULTISECTOR / CORTE CRUZADO,
87171353090,"Apoyo a la ejecuci•À_n de la pol•À_tica de la mujer en su eje de participaci•À_n social y pol•À_tica, Fase II.",15,-86.5,GOBIERNO Y SOCIEDAD CIVIL,
87171128160,Apoyo a la Formulaci•À_n de la Estrategia Nacional REDD [Reducci•À_n de las Emisiones Provenientes de la Deforestaci•À_n y la Degradaci•À_n de Bosques],15,-86.5,MULTISECTOR / CORTE CRUZADO,
87171352908,Apoyo a la gesti•À_n del servicio de agua y saneamiento en MAMUCA IV,15.61477,-87.34577,AGUA Y SANEAMIENTO,
87171352908,Apoyo a la gesti•À_n del servicio de agua y saneamiento en MAMUCA IV,15.66667,-86.91667,AGUA Y SANEAMIENTO,
87171352908,Apoyo a la gesti•À_n del servicio de agua y saneamiento en MAMUCA IV,15.66667,-87.2,AGUA Y SANEAMIENTO,
87171352908,Apoyo a la gesti•À_n del servicio de agua y saneamiento en MAMUCA IV,15.66667,-87.1,AGUA Y SANEAMIENTO,
87171352908,Apoyo a la gesti•À_n del servicio de agua y saneamiento en MAMUCA IV,15.66667,-87,AGUA Y SANEAMIENTO,
87171353772,Apoyo a la iniciativa educaci•À_n para todos EFA,15,-86.5,EDUCACION,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.65,-88.78333,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.48333,-88.78333,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.55,-88.84,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.56667,-88.86667,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.65,-88.83333,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.88333,-88.81667,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.85,-88.81667,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.95,-88.86667,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.5,-88.75,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.73333,-88.96667,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.66667,-88.91667,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.81667,-88.93333,MULTISECTOR / CORTE CRUZADO,
